INPUT,English,Portuguese
MSG_SAVE_SUCCESS,Province details saved successfully,detalhes da província salvos com sucesso.
MSG_CANNOT_SAVE_PROVINCE,Error : Province cannot be saved,erro: a província não pode ser salva.
MSG_CURRENT_PROVINCE_NOTFOUND,Error : The current Province is not found,erro: a província atual não foi encontrada.
MSG_CANNOTMAPREQUEST,Error: Cannot map request,erro: não é possível mapear a solicitação.
MSG_UNKNONW_ERROR,Unknow error has occured,ocorreu um erro desconhecido.
MSG_PROVINCE_EXISTS,Error : The Province Exists in System,erro: a província existe no sistema.
TITLE,City Summary,resumo da cidade
LBL_SEARCH,Search,buscar
LBL_COUNTRY,Country,país
LBL_SELECT,Select,selecionar
LBL_ADD,New,novo.
LBL_REGION,Province,província
LBL_CITY,City,"a tradução para português de ""city"" é ""cidade""."
LBL_PREVIOUS,Previous,anterior
LBL_NEXT,Next,próximo.
LBL_No_ITEM,No data found,nenhum dado encontrado.
LBL_EDIT,Edit,editar.
MSG_SHOWING,Showing,mostrando
MSG_TO,to,para
MSG_OF,of,da
MSG_RECORDS,records,registros
LBL_INSP_PORT,Inspection port,inspeção de porta
LBL_ZONE,Zone,zona
LBL_DISTANCE,Distance,distância
LBL_TRAVEL_TIME,Travel time (Hour),tempo de viagem (hora)
LBL_OFFICE,Office,escritório.
LBL_PHCODE,Phone Code,código do telefone
MSG_COUNTRY_REQ,Country is required,país é obrigatório.
TITLE,City Details,detalhes da cidade
LBL_SEARCH,Search,pesquisar.
LBL_COUNTRY,Country Name,nome do país
LBL_REGION,Province Name,nome da província.
LBL_SELECT,Select,selecionar
MSG_COUNTRY_NAME_REQ,Country is required,país é obrigatório.
MSG_REGION_NAME_REQ,Province is required,a província é obrigatória.
MSG_OFF_REQ,Office is required,é necessário ter o pacote office.
MSG_CITY_NAME_REQ,City name is required,nome da cidade é obrigatório.
MSG_INSP_PORT_NAME_REQ,Inspection Port is required,a inspeção é necessária.
MSG_ZONE_REQ,Zone is required,zona é necessária.
MSG_DISTANCE_REQ,Zone distance is required,distância da zona é necessária.
PH_CITY_NAME,Please enter city name,"por favor, insira o nome da cidade."
LBL_CITY,City Name,nome da cidade
LBL_INSP_PORT,Inspection port,posto de inspeção
LBL_ZONE,Zone,zona
LBL_DISTANCE,Distance,distância
LBL_TRAVEL_TIME,Travel time (Hour),tempo de viagem (horas)
PH_TRAVEL_TIME,Please enter travel time,"por favor, insira o tempo de viagem."
LBL_OFFICE,Office,escritório
LBL_SAVE,Save,salvar
LBL_RESET,Reset,redefinir
LBL_DETAILS,Main Details,detalhes principais
LBL_PHCODE,Phone Code,código de telefone.
PH_PH_CODE,Please enter phone code,por favor digite o código do telefone.
LBL_NEW,New,nova
LBL_ADD,Add,adicionar
LBL_EDIT,Edit,editar
LBL_RETURN,Return,retorno
LBL_SUCCESS,success,sucesso
LBL_ERROR,Error,erro
MSG_SAVE_SUCCESS,City details saved successfully,detalhes da cidade salvos com sucesso.
MSG_CANNOT_SAVE_CITY,Error : City cannot be saved,erro: a cidade não pode ser salva.
MSG_CURRENT_CITY_NOTFOUND,Error : The current City is not found,erro: a cidade atual não foi encontrada.
MSG_CANNOTMAPREQUEST,Error: Cannot map request,erro: não é possível mapear o pedido.
MSG_UNKNONW_ERROR,Unknow error has occured,um erro desconhecido ocorreu.
MSG_CITY_EXISTS,Error : The City Exists in System,erro: a cidade existe no sistema.
LBL_OK,OK,"está bem. a tradução para português de ""ok"" é ""ok"" ou ""tudo bem""."
LBL_AUDIT_COMPANY,Audit Company,empresa de auditoria.
LBL_INSPECTION_RESPONSIBLE,Inspection Responsible,responsável pela inspeção.
LBL_MAIN_DETAILS,Main details,detalhes principais.
MSG_SHOWING,Showing,mostrando.
MSG_TO,to,para
MSG_OF,of,da
MSG_RECORDS,records,registros
MSG_FROM_DATE_INVALID,From Date is Invalid,a data de início é inválida.
MSG_TO_DATE_INVALID,To Date is Invalid,até a data é inválida.
LBL_CONFIRMCANCEL,Cancel,cancelar
LBL_APPLY,Apply,aplicar
LBL_MODIFY,Modify,modificar
LBL_SAVE,Save,guardar
LBL_EDIT,Edit,editar
LBL_SEARCH,Search,busca
LBL_SELECT,Select,selecionar
LBL_ADD,Add,adicionar
LBL_REMOVE,Remove,remover
LBL_SUBMIT,Submit,enviar
LBL_DELETE,Delete,apagar.
LBL_CONFIRMDELETION,Confirm deletion,confirmar exclusão.
MSG_UNKNONW_ERROR,Unknown error has occured,um erro desconhecido ocorreu.
LBL_REFRESH,Refresh,atualizar
LBL_RESET,Reset,redefinir.
LBL_RETURN,Return,retorno
LBL_UPDATE,Update,atualizar
LBL_PREVIOUS,Previous,anterior
LBL_NEXT,Next,próxima
LBL_No_ITEM,No data found,nenhum dado encontrado.
MSG_ERRORVALIDATION,Validation error,erro de validação
LBL_NODATA,Oops! No load matching your search were found,ops! não foi encontrado nenhum item correspondente à sua busca.
LBL_NOITEMS,No items was found,nenhum item foi encontrado.
LBL_FB_ERROR,FB Connectivity Error,erro de conectividade do facebook
LBL_NO_DATA,No Data,sem dados
LBL_CANCEL,Cancel,cancelar
LBL_CLEAR_SEARCH,Clear Search,limpar pesquisa
LBL_ERROR,Error,erro
LBL_SELECT_ALL,Select All,selecionar todos
LBL_UN_SELECT_ALL,Un Select All,desmarcar todos.
LBL_ALL,All,tudo.
LBL_NEW,New,nova
LBL_YES,Yes,sim.
LBL_NO,No,não.
LBL_EXPORT,Export,exportação
MSG_QUESTION_SURE,Are you sure ?,você tem certeza?
MSG_DELETE_SUCCESS,Deleted Successfully,excluído com sucesso.
MSG_CANNOT_DELETE,"Error: Cannot Delete, please contact IT-Team","erro: não é possível excluir, por favor, entre em contato com a equipe de ti."
LBL_COPY,Copy,cópia
LBL_SELECTED,selected,selecionado
MSG_SAVED_SUCCESS,Saved Successfully,salvo com sucesso.
LBL_ADVANCED_SEARCH,Advance Search,busca avançada
LBL_CLOSE_ADVANCED_SEARCH,Close Advance Search,finalizar pesquisa avançada
MSG_CLEAR_SEARCH,Clear Search,limpar pesquisa
LBL_PREVIEW,Preview,prévia
LBL_TEMPLATE,Template,modelo
MSG_SERVICE_FROMDATE_REQ,From date is required,data inicial é obrigatória.
MSG_SERVICE_FROMDATE_VALID,From date is Invalid,a data de início é inválida.
MSG_SERVICE_FROMDATE_GREATER_REQ,From date should be less than to date,a data de início deve ser anterior à data de término.
MSG_SERVICE_TODATE_REQ,To date is required,até a data é requerido.
MSG_SERVICE_TODATE_LESS_REQ,To date not less than from date,até a data atual não inferior à data.
LBL_LOADER,Please Wait...,"por favor, aguarde..."
LBL_DATA_SHOWING,Data Showing,mostrando data
LBL_FILTER_SELECTED,filter selected,filtrar selecionados
LBL_NO_DATA_EMPTY,Data is empty or Try adjusting your filter to find what you’re looking for.,os dados estão vazios ou tente ajustar seu filtro para encontrar o que está procurando.
LBL_SHOW,Show,mostrar.
LBL_MORE,more,mais
LBL_LOAD,Please Wait...,"por favor, aguarde..."
LBL_USER_GUIDE,User Guide,guia do usuário
LBL_CONTACT,Contact,contato
LBL_HELP,Help,ajuda
LBL_TERMS,Terms,termos
LBL_RIGHTS_RESERVED,© 2019 - 2024 All rights reserved. Fullbridge.io,© 2019 - 2024 todos os direitos reservados. fullbridge.io
LBL_RELOAD,Reload,recarregar.
MSG_CUSTOMER_REQUIRED,Organization is required,organização é necessária.
MSG_SERVICE_REQUIRED,Service is required,serviço é necessário.
MSG_REQUEST_NOT_CORRECT_FORMAT,Request not correct format,formato da solicitação não correto.
LBL_UPLOAD,Upload,carregar.
MSG_BOOKING_NUMBER_REQUIRED,Booking Number is required,o número de reserva é obrigatório.
MSG_FILE_TYPE_REQUIRED,File Type is required,tipo de arquivo é obrigatório.
LBL_CHOOSE,Choose,escolher
MSG_NO_NETWORK_TITLE,No Network Available,sem conexão disponível.
MSG_NO_NETWORK_SUB_TITLE,please check your internet connection.,"por favor, verifique sua conexão com a internet."
DATE_PERIOD,Date Period,período de data.
LBL_CUSTOMER,Organization,organização
LBL_SUPPLIER,Supplier,fornecedor
LBL_FACTORY,Factory,fábrica
LBL_INSPECTION_COMPANY,Inspection Company,empresa de inspeção
LBL_INSPECTED_BY,Inspected By,inspecionado por
LBL_INSPECTED_RESPONSIBLE,Inspected Responsible,responsável inspecionado.
LBL_FROMDATE,From Date,da data
LBL_TODATE,To Date,até o momento.
APPLY,Apply,aplicar
CANCEL,Cancel,cancelar
LBL_FACTORY_COUNTRY,Factory Country,país fabricante
LBL_OFFICE,Office,escritório
LBL_SERVICETYPE,Service Type,tipo de serviço
LBL_BRAND,Brand,marca
LBL_DEPARTMENT,Department,departamento
LBL_BUYER,Buyer,comprador.
LBL_COLLECTION,Collection,coleção
LBL_SERVICEDATE_FROM_TO,Service Date,data do serviço
LBL_UNAUTHORISED_ACCESS,This may due to long inactive period after login or Un authorised access.,isso pode ser devido a um longo período inativo após o login ou acesso não autorizado.
LBL_REMARKS,Remarks,observações
LBL_RESULT,Result,resultado
LBL_REC_PER_PAGE,Records per page,registros por página.
LBL_FILTER,Filters,filtros
LBL_FORBIDDEN,Forbidden,proibido
LBL_COMPARE,Compare,comparar
LBL_ADVANCE_SEARCH,Advance search,pesquisa avançada
LBL_CLOSEADVANCE_SEARCH,Close Advance search,pesquisa avançada encerrar
LBL_COMPARE_MSG,Data comparison with,comparação de datas.
LBL_FILE_UPLOAD,File Upload,envio de arquivo
LBL_UPLOAD_MSG_SUC,File Uploaded Successfully,arquivo enviado com sucesso.
LBL_CLOSE,Close,fechar.
LBL_APPROVE,Approve,aprovar.
LBL_REJECT,Reject,rejeitar
LBL_ANALYZE,Analyze,analisar
LBL_FILE_DESCRIPTION,Description,descrição
LBL_COMPLAINT_RESULT,Complaint Result,resultado da reclamação
MSG_NORESULT_FOUND,No result found!,nenhum resultado encontrado!
MSG_FULLMSG_NOTFOUND,No results found based on your search.,nenhum resultado encontrado com base na sua pesquisa.
LBL_PRODUCT_REF,Product Reference,referência do produto
TITLE,Vendor Summary,resumo do fornecedor.
SUP_TITLE,Supplier Summary,resumo do fornecedor.
FACT_TITLE,Factory Summary,resumo da fábrica.
LBL_TYPE,Type,tipo
LBL_SELECT,Select,selecionar
LBL_SELECT_REGION,Select region,selecionar região.
LBL_SELECT_COUTRY,Select country,selecionar país.
LBL_SELECT_CITY,Select city,selecionar cidade
LBL_COUNTRY,Country,país
LBL_SEARCH,Search,buscar
LBL_NAME,Name,nome
LBL_REGION,Region,região.
LBL_CITY,City,cidade
LBL_FACTORYLIST,Factory list,lista de fábricas.
LBL_NOITEMS,No items was found,nenhum item foi encontrado.
LBL_CONFIRMDELETION,Are you sure ?,você tem certeza?
MSG_CONFRMDELETE,You are about to delete the supplier ,você está prestes a deletar o fornecedor.
LBL_REMOVE,Remove,remover
MSG_TYPES_REQ,Type is required,tipo é obrigatório.
LBL_EDIT,Edit,editar
LBL_DELETE,Delete,apagar.
MSG_CANTDELETE,Deletion Failed,falha na exclusão
MSG_AUTOCOMPLETE,Please enter 4 or more characters,"por favor, digite 4 ou mais caracteres."
MSG_CANNOTDELETE_SUP,"Mapped to either Audit, PO or Inspection Bookings","mapeado para reservas de auditoria, po ou inspeção."
LBL_REGIONAL_NAME,Regional Name,nome da região
LBL_ADDNEW,Add,adicionar
LBL_ADDPURCHASE,Add Purchase Order,adicionar ordem de compra
LBL_ADDSUPPLIER,Add Vendor,adicionar fornecedor
LBL_ADD_MSG,To view vendor details search or add vendor,"para visualizar os detalhes do fornecedor, pesquise ou adicione o fornecedor."
LBL_EDITSUPPLIER,Edit Supplier,editar fornecedor
LBL_IMPORT_CONTACT,Import Contact,importar contato
LBL_IMPORT_VENDOR,Import Vendor,fornecedor de importação.
LBL_REJECT,Reject,recusar.
LBL_APPROVED,Approved,aprovado
MSG_REJECT,status is rejected,o status é rejeitado.
MSG_APPROVED,status is approved,o status foi aprovado.
TITLE,Vendor Details,detalhes do fornecedor.
LBL_MAIN,Main details,principais detalhes
LBL_NAME,Name,nome.
PH_NAME,Enter Name,digite o nome.
LBL_LOCALLANGUAGE,Regional Language Name,nome do idioma regional.
LBL_EMAIL,Email,e-mail
LBL_PHONE,Phone No/Mobile No,telefone/telemóvel
MSG_PERIOD_FROM_REQ,Period from date is requiered,período a partir da data é requerido.
MSG_PERIOD_TO_REQ,Period to date is requiered,"""até a data é necessário."""
LBL_FAX,Fax,fax
LBL_MOBILE,Mobile,móvel
MSG_PERIOD_FROMDATE_GREATER_REQ,From date should be greater than to date,a data inicial deve ser maior que a data final.
LBL_WEBSITE,Website,site da internet
LBL_TYPE,Type,tipo
LBL_LEVEL,Level,nível.
LBL_DAILYPRODUCTION,Daily production,produção diária.
LBL_OWNERSHIP,% Ownership,participação (%)
LBL_TOTALSTAFF,Total Staff,equipe total.
LBL_CONTACTPERSON,Contact Person,pessoa de contato
LBL_COMMENT,Comment,comentário
LBL_CODE,GL Code,código gl
LBL_LEGALNAME,Legal Name,nome legal
LBL_CREDITTERM,Credit Term,termo de crédito
LBL_STATUS,Status,estado
LBL_VENDOR_CODE,Code,código
TAB_ADDRESS,Address,endereço
TAB_CUSTOMER,Organization,organização
TAB_CONTACTS,Contacts,contatos
TAB_SUPPLIER,Supplier,fornecedor
ADD_FACTORY,Add Factory,adicionar fábrica
ADD_SUPPLIER,Add Supplier,adicionar fornecedor
ADD_COMPANY,Add Inspection Company,adicionar empresa de inspeção.
LBL_EDIT_FACTORY,Factory Details,detalhes da fábrica
LBL_EDIT_SUPPLIER,Supplier Details,detalhes do fornecedor.
MSG_QC_REQ,QC company is required,a empresa qc é obrigatória.
LBL_EDIT_COMPANY,Edit QC Company,empresa de controle de qualidade edit.
LBL_QC_COMPANY,Qc company ,empresa qc.
LBL_BUSINESS,Business Line,linha de negócios.
MSG_CANNOT_ADDSUPPLIER,Cannot add supplier,não é possível adicionar fornecedor.
SAVE_RESULT,Save result,salvar resultado.
SAVE_OK,Supplier is saved successfully!,o fornecedor foi salvo com sucesso!
SAVE_FACT,Factory is saved successfully!,a fábrica foi salva com sucesso!
SAVE_INS_COMPANY,Inspection company is saved successfully!,a empresa de inspeção foi salva com sucesso!
MSG_CURRENTSUPP_NOTFOUND,Cannot find current supplier,não é possível encontrar o fornecedor atual.
MSG_CANNOTMAPREQUEST,Cannot map request,não é possível mapear a solicitação.
MSG_NAME_REQ,Name is required,este campo é obrigatório.
MSG_TYPE_REQ,Type is required,tipo é obrigatório.
MSG_STATUS_REQ,Status is required,o status é obrigatório.
MSG_UNKNONW_ERROR,Unknown error has occured,ocorreu um erro desconhecido.
MSG_PRO_REQ,Profile is required,perfil é obrigatório.
LBL_SAVE,Save,salvar
MSG_EMAIL_EMAIL,Email is not valid,o e-mail não é válido.
LBL_ADDRESS,Address,endereço
LBL_ZIPCODE,Zip Code,código postal
LBL_COUNTRY,Country,país
LBL_REGION,Province,província
LBL_CITY,City,cidade
LBL_COUNTY,County,condado
LBL_TOWN,Town,cidade
LBL_ADD,Add,adicionar
LBL_SELECT,Select,selecionar
LBL_CUSTOMER,Select Organization,selecionar organização
LBL_JOBTITLE,Job Title,cargo ou título do emprego.
LBL_CUSTOMERS,Customers,clientes
LBL_PROFILE,Profile,perfil
LBL_REMOVE,Remove,remover
LBL_NEWSUPP,New Supplier,novo fornecedor
LBL_SELECTSUPP,Select Supplier,selecionar fornecedor
LBL_OFFICETYPE,Office Type,tipo de escritório
LBL_CUSTCODE,Code,"""código"""
MSG_EMAIL_REQ,Email is required,e-mail é obrigatório.
MSG_CONTACT_REQ,Contact person name is required,nome da pessoa de contato é obrigatório.
LBL_LONGITUDE,Longitude,"longitude significa ""longitude"" em português."
LBL_LATITUDE,Latitude,"latitude significa ""latitude"" em português."
LBL_LOCALLANGUAGEADR,Regional language address,endereço do idioma regional
MSG_ADRHEAD_REQ,"Head Office is required, Only one is allowed","a sede é obrigatória, somente uma é permitida."
MSG_COUNTRY_REQ,Country is required,país é obrigatório.
MSG_REGION_REQ,Province is required,a província é obrigatória.
MSG_CITY_REQ,City is required,a cidade é necessária.
MSG_COUNTY_REQ,County is required,condado é obrigatório.
MSG_TOWN_REQ,Town is required,a cidade é obrigatória.
MSG_OFFICE_REQ,Office Type is required,tipo de escritório é obrigatório.
MSG_ZIPCODE_REQ,Zip Code is required,código postal é obrigatório.
MSG_ADDRESS_REQ,Address is required,endereço é obrigatório.
MSG_LOCALLANG_REQ,Regional language is required,é necessário o idioma regional.
MSG_CUSTOMER_REQ,No customers are selected,nenhum cliente está selecionado.
MSG_OFFICETYPE_REQ,Cannot have multiple Head Office,não pode ter várias sedes.
MSG_HEADOFFICE_REQ,Head Office address required,endereço da sede necessário.
MSG_API_SERVICE_ID_SAME,Fullbridge Services configured for the supplier and supplier contacts should be same,os serviços fullbridge configurados para o fornecedor e contatos do fornecedor devem ser os mesmos.
MSG_CONTACTNAME_REQ,Contact Name is required,o nome de contato é obrigatório.
MSG_CONTACTEMAIL_REQ,Contact email is required,o email de contato é obrigatório.
MSG_CUSTOMERS_REQ,Select Organization is required,organização selecionada é necessária.
MSG_CONTACTEMAIL_EMAIL,Email is not valid,o e-mail não é válido.
MSG_SUPPLIERPARENT_REQ,Supplier is required,fornecedor é necessário.
MSG_SUPPLIER_EXISTS,Cannot save supplier because it exists in database,não é possível salvar fornecedor pois ele já existe no banco de dados.
MSG_CUSTOMERSNOTSELECTED_REQ,Some customers associated to contact are not selected,alguns clientes associados ao contato não estão selecionados.
MSG_PHONE_REQ,Phone is required,telefone é obrigatório.
LBL_API_LINK_CREDENTIALS,Fullbridge link Credentials,credenciais de link fullbridge
LBL_SHOW_CREDENTIALS,Show Credentials,mostrar credenciais.
LBL_DO_YOU_WANT_TO_CREATE_USER_CREDENTIALS,Do you want to create user credentials?,você quer criar credenciais de usuário?
LBL_USER_CREDENTIALS,User Credentials,credenciais do usuário
LBL_USER_NAME,Username,nome de usuário
LBL_PASSWORD,Password,senha
LBL_LOADING_USER_CREDENTIALS,Loading User Credentials...,carregando credenciais do usuário...
LBL__ATLEAST_ONE_CONTACT_MANDATORY,one contact mandatory,um contato obrigatório.
LBL_SUB_DETAIL,Sub details,detalhes adicionais.
